Number,Name,Script,Face,
47,박미자,어# 어머...!! 허! 참!ㅋ,4_2_2,4_2_2
48,박미자,내# 내가 오늘 지갑을 안들고와서 그런거거든?!,,
49,박미자,총각~.. 그렇게 안봤는데.. 되게 무례하네~~?ㅋ,,
50,박미자,내 마음 알아줄거라 믿을게~~,,
51,박미자,다음엔 챙겨줘야해~~?^^ (찡긋),4_2_1,4_2_1
52,최알바,그렇게까지 저를 생각해주실 줄 몰랐어요.,,
53,최알바,그래도 숨겨뒀다는 말은 심하네요,,
54,최알바,폐기는 드릴게요.,,
55,박미자,그래# 그래! ,4_1_1,4_1_1
56,박미자,내가 말이 심했지!? 호호~ 미안해~~♥,4_2_1,4_2_1
57,박미자,다음에도… 알징? (찡긋),4_1_1,4_1_1
58,최알바,확인 안해서 모르겠는데요.,,
59,박미자,아니~~… 내가 확인해보니까 없더라구,,
60,박미자,총각! 폐기 나온 건 있을까~?^^,4_2_1,4_2_1
61,선택지,,,
62,,,,
63,최알바,폐기 나온게 없어요,,
64,박미자,폐기 나온게 왜 없어!!!!,4_2_2,4_2_2
65,박미자,엣 흐# 흠 …..~~,,
66,박미자,폐기 없으면 우리 총각.. 끼니는 어떡하나~~?^^,,
67,박미자,설마 혼자 다 먹으려고 숨긴 건 아니겠지~~??,,
68,박미자,우리 사이에… 조금만 나눠줘~~ 응?^^♥,,
69,최알바,그걸 왜 확인하세요?,,
70,박미자,우리 총각 폐기로 끼니 때우잖아~~ㅋ,4_2_1,4_2_1
71,박미자,곧 밥시간인데 가져다 주려고.. 호홍 ^^♥,,
72,박미자,나같이 직원 신경써주는 사람이 어딨어~~!ㅋ ^^,,
73,박미자,대답 제대로 안하는 거 보니까…,4_1_1,4_1_1
74,박미자,있구나~!! 폐기 있지?!,4_2_1,4_2_1
75,선택지,,,
76,,,,
77,최알바,저한테 맡겨놨어요?,,
78,최알바,폐기 진짜 없어서 그래요.,,
79,최알바,그리고 함부로 드리면 저 혼나요.,,
80,최알바,많이 곤란하니까# 폐기 달라고 하지 마세요.,,
81,박미자,….!! 맡겨놨냐니..,4_1_2,4_1_2
82,박미자,총각# 말이 넘넘 심하당~~ㅋ,,4_1_2
83,박미자,있는 거 아는데... 오늘만 속아주는거야~~ㅋ,4_2_2,4_2_2
84,박미자,앞으로 폐기 나오면 챙겨줘^^♥ (찡긋),,
85,최알바,폐기 드릴게요. ,,
86,최알바,원래는 드리면 안되는거 아시잖아요.,,
87,최알바,다음부턴 폐기 달라고 하지 마세요. ,,
88,박미자,어머# 어머!,4_1_1,4_1_1
89,박미자,설마 폐기준 거 신고할까봐 그래~~? 호홍 ^^,,4_1_1
90,박미자,우리 관계에 그렇게 믿음이 없으면 어떡행~~!! ,4_2_1,4_2_1
91,박미자,걱정말구# 다음에도 잘 부탁해~^^♥ (찡긋),,
92,,(딸랑 딸랑),,
93,최알바,어서오세요.,5_1_1,
94,오영수,♪ ♬~ ♩~ (술과 육포를 계산대 위에 올려놓는다.),,
95,최알바,8#200원입니다.,,
96,오영수,뭐라고?,,
97,최알바,8#200원입니다.,,
98,오영수,아니.. 그걸 몰라서 물어보냐?,5_3_1,
99,오영수,왜 이렇게 비싸냐고.,,
100,오영수,육포 얼만데?,5_3_2,
101,최알바,육포는 6#200원 입니다. ,,
102,오영수,아따 졸~ㄹ 비싸네..,,
103,오영수,여기서 이거 하나 팔면 얼마나 남어?,,
104,최알바,저도 모르겠습니다.,,
105,최알바,요즘 육포 값이 비싸긴 해요.,,
106,오영수,술도 저~~ 옆에 편의점에서는 1500원이든데.,5_4_1,
107,오영수,다 비싸게 받아 쳐묵네.,,
108,오영수,니 나한테 돈 더 받는거 아니냐?,,
109,선택지,,,
110,,,,
111,최알바,점장님 물욕에 눈이 멀어서 전부 다 비싸요.,,
112,최알바,점장님께 직접 따지면 가격이 내려갈지도..?,,
113,오영수,쯧쯧… 이런 놈을 직원으로 뽑았네.,5_3_2,
114,오영수,점장을 팔아? 막돼먹은 X끼야,,
115,오영수,나 점장놈 친구인거 몰러?,,
116,최알바,……. ……….,,
117,오영수,기다려봐라. ,,
118,오영수,(휴대폰으로 최알바의 사진을 찍는다.),,
119,선택지,,,
120,,,,
121,최알바,지금 뭐하시는거예요?,,
122,최알바,허락도 없이 사진을 왜;;,,
123,오영수,점장한테 보내려고.,5_4_2,
124,오영수,걱정마라. 메시지 보내고 바로 삭제할거다.,,
125,최알바,돈 내고 찍으세요.,,
126,최알바,아니면 초상권 침해로 신고할거예요.,,
127,오영수,니가 초상권이 어딨어?,,
128,오영수,점장한테 꼰지를거다.,5_4_1,
129,오영수,메시지만 보내고 삭제할텡께 신경꺼라,,
130,최알바,아니.. 이건 아니죠…,,
131,오영수,난 의리가 있는 사람이그든,,
132,오영수,친구 파는 X끼를 가만 냅두면 안되지.,,
133,최알바,진짜 친구분이세요..?,,
134,오영수,어. 방금 메시지 보냈다. ,,
135,최알바,모니터에 가격 뜨잖아요.  ,,
136,최알바,제가 어떻게 사기를 쳐요… ㅠㅠ,,
137,오영수,니가 숫자 바꿀 수 있는 거 아녔냐?,5_2_1,
138,오영수,이렇게까지 비쌀 리 없잖어.,,
139,최알바,그런 기능 없다구요!! ㅡㅡ,,
140,최알바,………. .,,
141,오영수,아# ㅅ끼… 사람 무안하게 하네.,,
142,오영수,좀 모르면 그럴 수도 있지.,,
143,오영수,설명을 해야지# 어디서 큰소리를 내?,5_2_2,
144,선택지,,,
145,,,,
146,최알바,죄송합니다. ,,
147,최알바,억울해서 순간 욱했나봐요.,,
148,오영수,농담이었는데 과하게 했나부다.,,
149,오영수,….. 미안하다.,,
150,최알바,네?? 어… 음…,,
151,오영수,내가 오늘 기분이 좀 좋아가지고..,5_1_1,
152,오영수,실수를 좀 한 것 같다.,,
153,오영수,….. ….. .,,
154,최알바,아# 아닙니다.,,
155,오영수,계산해줘.,,
156,최알바,넵. 결제 되셨습니다.,,
157,최알바,먼저 저를 의심하시니까 그랬죠. ,,
158,최알바,의심 안하셨으면 손님이 무안하실 일도 없었을걸요?,,
159,오영수,니 잘났다# X끼야.,5_3_1,
160,오영수,농담도 구분 못하냐?,,
161,오영수,븅ㅅ새X.,5_3_2,
162,오영수,생각할수록 기분 더럽네.,,
163,최알바,븅X신이요?,,
164,오영수,오늘 기분 좋았었는데# 니땜에 다 망쳤다.,,
165,오영수,됐다. 안살란다.,,
166,오영수,(휴대폰으로 최알바의 사진을 찍는다.) ,,
167,최알바,뭐하시는 겁니까?,,
168,오영수,느그 점장한테 꼰지를라고.,,
169,오영수,말 들어보니까# 전 알바 대타라매?,5_4_1,
170,오영수,걔랑 친구라 하더만.,,
171,오영수,ⓡ둘다 잘릴 준비 해라.ⓔ,5_4_2,
