Number,Name,Script,Face,Face2
101,서형준 ,저도 죄송해요 할배~,,
102,서형준 ,이제 계산해줘요.,,
103,최알바,그래도 노인 공경 하셔야죠.,,
104,최알바,무안하셔서 말 저렇게 하시는 걸 거예요.,,
105,최알바,먼저 사과하시면 할아버지도 반성하지 않을까요?,,
106,서형준 ,하… ㅋㅋ 예~예~,7_2,
107,서형준 ,할배요# 죄송함다?,,
108,노구십,……떼잉~~…. 미안혀!,,
109,노구십,아까는 시# 실례했다네....,,
110,서형준 ,…흠… 네# 뭐..,,
111,서형준 ,이제 계산해주세요.,,
112,노구십,…!! 예끼# 이눔아!,,
113,노구십,아# 암만 그래도 새치기는 선넘었지~!,,
114,최알바,어차피 1#500원밖에 없으시잖아요.,,
115,노구십,할인해줘잉~,,
116,서형준 ,… 정신나간 노친네..  돈 없어요?,,
117,서형준 ,그냥 같이 계산해줘요. ,,
118,최알바,네. 11#000원 입니다.,,
119,서형준 ,할배# 오래사쇼. ,,
120,노구십,♥ 누# 눈부신 rich 젊은이로군~~,,
121,노구십,모# 모두들 잘 있게나,,
122,최알바,안녕히 가세요.,,
123,최알바,저… 화장실 키는….,,
124,서형준 ,아# 맞다. 두고 왔네요.,,
125,서형준 ,소변기 위에 있으니까 알아서 가져가세요.,,
126,최알바,..... 안녕히 가세요 ㅠ,,
